dial,level,order,n_runs,slope_beta,slope_se,slope_t,P3_minus_P1,P3m1_se,slope_sig_5pct,direction,backend
risk_aversion,very_averse,1,30,0.4157,0.0755,5.5,0.8261,0.1509,yes,diverges from CE,llama-cpp-python (Jun 20-24)
risk_aversion,averse,2,30,0.4144,0.0444,9.33,0.8282,0.0874,yes,diverges from CE,llama-cpp-python (Jun 20-24)
risk_aversion,neutral,3,30,0.3004,0.0781,3.85,0.599,0.1557,yes,diverges from CE,llama-cpp-python (Jun 20-24)
risk_aversion,seeking,4,30,0.0639,0.089,0.72,0.1272,0.1729,no,diverges from CE,llama-cpp-python (Jun 20-24)
risk_aversion,very_seeking,5,30,0.12,0.0416,2.88,0.24,0.0833,yes,diverges from CE,llama-cpp-python (Jun 20-24)
aggressiveness,very_passive,1,30,0.6864,0.0999,6.87,1.351,0.1957,yes,diverges from CE,llama-cpp-python (Jun 20-24)
aggressiveness,passive,2,30,0.3095,0.0819,3.78,0.6199,0.164,yes,diverges from CE,llama-cpp-python (Jun 20-24)
aggressiveness,moderate,3,30,0.2721,0.0684,3.98,0.5432,0.1365,yes,diverges from CE,llama-cpp-python (Jun 20-24)
aggressiveness,aggressive,4,30,0.1004,0.0483,2.08,0.2012,0.0965,yes,diverges from CE,llama-cpp-python (Jun 20-24)
aggressiveness,very_aggressive,5,30,0.1152,0.0642,1.79,0.2305,0.1284,no,diverges from CE,llama-cpp-python (Jun 20-24)
