dial,level,order,period,n_runs,mean_price,sd_price,ci_lo,ci_hi,mean_trades,human_price,gap_vs_human,backend
risk_aversion,very_averse,1,1,30,14.792,1.05,14.436,15.174,12.63,14.49,0.302,llama-cpp-python (Jun 20-24)
risk_aversion,very_averse,1,2,30,15.256,0.552,15.051,15.445,12.83,14.1,1.156,llama-cpp-python (Jun 20-24)
risk_aversion,very_averse,1,3,30,15.606,0.988,15.267,15.962,11.43,13.5,2.106,llama-cpp-python (Jun 20-24)
risk_aversion,averse,2,1,30,14.499,0.54,14.306,14.686,15.6,14.49,0.009,llama-cpp-python (Jun 20-24)
risk_aversion,averse,2,2,30,14.934,0.509,14.749,15.111,15.43,14.1,0.834,llama-cpp-python (Jun 20-24)
risk_aversion,averse,2,3,30,15.332,0.348,15.209,15.455,14.07,13.5,1.832,llama-cpp-python (Jun 20-24)
risk_aversion,neutral,3,1,30,14.239,0.599,14.032,14.448,15.63,14.49,-0.251,llama-cpp-python (Jun 20-24)
risk_aversion,neutral,3,2,30,14.732,0.585,14.52,14.938,15.73,14.1,0.632,llama-cpp-python (Jun 20-24)
risk_aversion,neutral,3,3,30,14.856,0.458,14.706,15.024,15.2,13.5,1.356,llama-cpp-python (Jun 20-24)
risk_aversion,seeking,4,1,30,15.967,0.781,15.695,16.238,12.0,14.49,1.477,llama-cpp-python (Jun 20-24)
risk_aversion,seeking,4,2,30,16.249,0.709,16.015,16.514,12.37,14.1,2.149,llama-cpp-python (Jun 20-24)
risk_aversion,seeking,4,3,30,16.082,0.747,15.829,16.346,11.9,13.5,2.582,llama-cpp-python (Jun 20-24)
risk_aversion,very_seeking,5,1,30,14.972,0.374,14.836,15.099,15.5,14.49,0.482,llama-cpp-python (Jun 20-24)
risk_aversion,very_seeking,5,2,30,15.104,0.353,14.979,15.229,15.73,14.1,1.004,llama-cpp-python (Jun 20-24)
risk_aversion,very_seeking,5,3,30,15.213,0.322,15.101,15.326,15.57,13.5,1.713,llama-cpp-python (Jun 20-24)
aggressiveness,very_passive,1,1,30,15.379,0.752,15.12,15.655,10.93,14.49,0.889,llama-cpp-python (Jun 20-24)
aggressiveness,very_passive,1,2,30,16.494,1.093,16.124,16.881,9.43,14.1,2.394,llama-cpp-python (Jun 20-24)
aggressiveness,very_passive,1,3,30,16.863,1.014,16.505,17.214,8.3,13.5,3.363,llama-cpp-python (Jun 20-24)
aggressiveness,passive,2,1,30,14.307,0.631,14.09,14.531,15.8,14.49,-0.183,llama-cpp-python (Jun 20-24)
aggressiveness,passive,2,2,30,14.571,0.489,14.401,14.749,15.57,14.1,0.471,llama-cpp-python (Jun 20-24)
aggressiveness,passive,2,3,30,14.928,0.448,14.768,15.085,14.93,13.5,1.428,llama-cpp-python (Jun 20-24)
aggressiveness,moderate,3,1,30,14.336,0.578,14.129,14.536,15.87,14.49,-0.154,llama-cpp-python (Jun 20-24)
aggressiveness,moderate,3,2,30,14.691,0.537,14.499,14.88,15.7,14.1,0.591,llama-cpp-python (Jun 20-24)
aggressiveness,moderate,3,3,30,14.889,0.438,14.739,15.044,15.2,13.5,1.389,llama-cpp-python (Jun 20-24)
aggressiveness,aggressive,4,1,30,14.762,0.486,14.592,14.936,15.37,14.49,0.272,llama-cpp-python (Jun 20-24)
aggressiveness,aggressive,4,2,30,14.833,0.35,14.708,14.955,15.4,14.1,0.733,llama-cpp-python (Jun 20-24)
aggressiveness,aggressive,4,3,30,14.956,0.406,14.816,15.102,14.53,13.5,1.456,llama-cpp-python (Jun 20-24)
aggressiveness,very_aggressive,5,1,30,14.956,0.632,14.738,15.19,15.5,14.49,0.466,llama-cpp-python (Jun 20-24)
aggressiveness,very_aggressive,5,2,30,15.047,0.444,14.89,15.2,15.67,14.1,0.947,llama-cpp-python (Jun 20-24)
aggressiveness,very_aggressive,5,3,30,15.179,0.375,15.053,15.318,15.07,13.5,1.679,llama-cpp-python (Jun 20-24)
