model,memory_type,improvement_rule,n_runs_total,n_runs_bootstrap,persona,period,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,theoretical_ce_price,theoretical_ce_trades,llm_mean_trades,human_inside_ci,ci_method
gemma3-27b,baseline,yes,30,30,baseline,1,14.383,0.633,14.16,14.6,14.49,12.5,16,15.43,Yes,bootstrap_10000
gemma3-27b,baseline,yes,30,30,baseline,2,14.669,0.58,14.463,14.872,14.1,12.5,16,15.27,No,bootstrap_10000
gemma3-27b,baseline,yes,30,29,baseline,3,14.883,0.579,14.671,15.089,13.5,12.5,16,14.76,No,bootstrap_10000
hermes3,baseline,yes,30,6,baseline,1,17.482,1.943,16.113,18.833,14.49,12.5,16,0.67,No,bootstrap_10000
hermes3,baseline,yes,30,11,baseline,2,17.271,1.542,16.421,18.167,14.1,12.5,16,1.47,No,bootstrap_10000
hermes3,baseline,yes,30,14,baseline,3,15.22,1.311,14.637,15.952,13.5,12.5,16,1.13,No,bootstrap_10000
qwen2.5-coder-32B,baseline,yes,30,29,baseline,1,14.603,0.81,14.322,14.895,14.49,12.5,16,9.55,Yes,bootstrap_10000
qwen2.5-coder-32B,baseline,yes,30,29,baseline,2,14.826,0.925,14.492,15.162,14.1,12.5,16,8.83,No,bootstrap_10000
qwen2.5-coder-32B,baseline,yes,30,28,baseline,3,14.808,1.055,14.423,15.202,13.5,12.5,16,8.0,No,bootstrap_10000
llama3.1-70B,baseline,yes,19,18,baseline,1,14.772,0.532,14.544,15.016,14.49,12.5,16,14.05,No,bootstrap_10000
llama3.1-70B,baseline,yes,19,17,baseline,2,14.721,0.543,14.473,14.97,14.1,12.5,16,15.47,No,bootstrap_10000
llama3.1-70B,baseline,yes,19,17,baseline,3,14.524,0.41,14.347,14.722,13.5,12.5,16,15.35,No,bootstrap_10000
gemma3-4b,baseline,yes,8,8,baseline,1,15.407,0.538,15.049,15.745,14.49,12.5,16,8.5,No,bootstrap_10000
gemma3-4b,baseline,yes,8,8,baseline,2,15.768,0.365,15.569,16.03,14.1,12.5,16,8.88,No,bootstrap_10000
gemma3-4b,baseline,yes,8,8,baseline,3,15.819,0.517,15.466,16.142,13.5,12.5,16,7.62,No,bootstrap_10000
mistral-instruct,baseline,yes,6,6,baseline,1,15.629,1.28,14.828,16.646,14.49,12.5,16,7.33,No,bootstrap_10000
mistral-instruct,baseline,yes,6,4,baseline,2,15.333,0.96,14.75,16.271,14.1,12.5,16,6.17,No,bootstrap_10000
mistral-instruct,baseline,yes,6,4,baseline,3,15.415,0.396,15.031,15.662,13.5,12.5,16,6.67,No,bootstrap_10000
gpt-oss-20b,baseline,yes,7,7,baseline,1,15.589,0.359,15.339,15.821,14.49,12.5,16,16.0,No,bootstrap_10000
gpt-oss-20b,baseline,yes,7,7,baseline,2,15.402,0.45,15.116,15.741,14.1,12.5,16,16.0,No,bootstrap_10000
gpt-oss-20b,baseline,yes,7,7,baseline,3,15.455,0.444,15.143,15.75,13.5,12.5,16,16.0,No,bootstrap_10000
phi4,baseline,yes,4,2,baseline,1,12.0,0.0,12.0,12.0,14.49,12.5,16,0.75,No,bootstrap_10000
phi4,baseline,yes,4,3,baseline,2,12.333,0.577,12.0,13.0,14.1,12.5,16,1.25,No,bootstrap_10000
phi4,baseline,yes,4,4,baseline,3,15.5,1.291,14.5,16.5,13.5,12.5,16,2.0,No,bootstrap_10000
llama3.3,baseline,yes,2,1,baseline,1,13.571,0.0,13.571,13.571,14.49,12.5,16,14.0,No,bootstrap_10000
llama3.3,baseline,yes,2,2,baseline,2,14.023,0.25,13.846,14.2,14.1,12.5,16,14.0,Yes,bootstrap_10000
llama3.3,baseline,yes,2,1,baseline,3,13.8,0.0,13.8,13.8,13.5,12.5,16,15.0,No,bootstrap_10000
mixtral-8x22b,baseline,yes,2,2,baseline,1,14.571,0.606,14.143,15.0,14.49,12.5,16,9.0,Yes,bootstrap_10000
mixtral-8x22b,baseline,yes,2,1,baseline,2,16.857,0.0,16.857,16.857,14.1,12.5,16,7.0,No,bootstrap_10000
mixtral-8x22b,baseline,yes,2,1,baseline,3,15.286,0.0,15.286,15.286,13.5,12.5,16,7.0,No,bootstrap_10000
codellama-70B,baseline,yes,1,1,baseline,1,20.0,0.0,20.0,20.0,14.49,12.5,16,1.0,No,bootstrap_10000
codellama-70B,baseline,yes,1,1,baseline,2,13.0,0.0,13.0,13.0,14.1,12.5,16,2.0,No,bootstrap_10000
gemma3-4b,refined,yes,1,1,baseline,1,15.0,0.0,15.0,15.0,14.49,12.5,16,9.0,No,bootstrap_10000
gemma3-4b,refined,yes,1,1,baseline,2,15.5,0.0,15.5,15.5,14.1,12.5,16,8.0,No,bootstrap_10000
gemma3-4b,refined,yes,1,1,baseline,3,15.182,0.0,15.182,15.182,13.5,12.5,16,11.0,No,bootstrap_10000
