period,model,n_runs,llm_mean_price,llm_sd_price,llm_ci_lo,llm_ci_hi,human_mean_price,llm_mean_trades,human_ce_trades,ci_method,treatment
1,gemma3-27b,30,14.383,0.633,14.159,14.606,14.49,15.43,16,bootstrap_10000,baseline
2,gemma3-27b,30,14.669,0.58,14.464,14.867,14.1,15.27,16,bootstrap_10000,baseline
3,gemma3-27b,29,14.883,0.579,14.671,15.082,13.5,14.76,16,bootstrap_10000,baseline
1,gemma3-27b_refined,6,14.297,0.401,13.969,14.507,14.49,15.5,16,bootstrap_10000,refined_memory
2,gemma3-27b_refined,6,14.667,0.357,14.406,14.927,14.1,16.0,16,bootstrap_10000,refined_memory
3,gemma3-27b_refined,6,14.58,0.419,14.271,14.872,13.5,15.83,16,bootstrap_10000,refined_memory
1,gemma3-4b,8,15.407,0.538,15.059,15.748,14.49,8.5,16,bootstrap_10000,baseline
2,gemma3-4b,8,15.768,0.365,15.572,16.034,14.1,8.88,16,bootstrap_10000,baseline
3,gemma3-4b,8,15.819,0.517,15.467,16.146,13.5,7.62,16,bootstrap_10000,baseline
1,hermes3,6,17.482,1.943,16.113,18.833,14.49,3.33,16,bootstrap_10000,baseline
2,hermes3,11,17.271,1.542,16.398,18.144,14.1,4.0,16,bootstrap_10000,baseline
3,hermes3,14,15.22,1.311,14.631,15.952,13.5,2.43,16,bootstrap_10000,baseline
1,hermes3_refined,27,16.969,1.807,16.299,17.631,14.49,4.33,16,bootstrap_10000,refined_memory
2,hermes3_refined,22,16.924,1.835,16.191,17.68,14.1,4.23,16,bootstrap_10000,refined_memory
1,llama3.1-70B,19,14.715,0.573,14.471,14.968,14.49,14.89,16,bootstrap_10000,baseline
2,llama3.1-70B,17,14.743,0.505,14.51,14.981,14.1,15.47,16,bootstrap_10000,baseline
1,mistral-instruct,6,15.629,1.28,14.828,16.638,14.49,7.33,16,bootstrap_10000,baseline
2,mistral-instruct,5,15.233,0.861,14.767,16.0,14.1,9.8,16,bootstrap_10000,baseline
1,qwen2.5-coder-32B,30,14.592,0.798,14.315,14.876,14.49,9.47,16,bootstrap_10000,baseline
2,qwen2.5-coder-32B,29,14.847,0.919,14.52,15.187,14.1,8.86,16,bootstrap_10000,baseline
3,qwen2.5-coder-32B,27,14.805,1.075,14.409,15.217,13.5,8.0,16,bootstrap_10000,baseline
1,qwen2.5-coder-32B_refined,13,14.949,0.754,14.561,15.364,14.49,9.77,16,bootstrap_10000,refined_memory
2,qwen2.5-coder-32B_refined,12,15.145,0.509,14.871,15.423,14.1,9.17,16,bootstrap_10000,refined_memory
3,qwen2.5-coder-32B_refined,12,15.662,0.917,15.185,16.18,13.5,8.42,16,bootstrap_10000,refined_memory
1,gemma3-27b_risk_very_averse,1,14.786,,,,14.49,14,16,single_run,dial_risk_very_averse
2,gemma3-27b_risk_very_averse,1,14.571,,,,14.1,14,16,single_run,dial_risk_very_averse
3,gemma3-27b_risk_very_averse,1,14.25,,,,13.5,12,16,single_run,dial_risk_very_averse
1,gemma3-27b_risk_averse,1,14.188,,,,14.49,16,16,single_run,dial_risk_averse
2,gemma3-27b_risk_averse,1,14.875,,,,14.1,16,16,single_run,dial_risk_averse
3,gemma3-27b_risk_averse,1,14.688,,,,13.5,16,16,single_run,dial_risk_averse
1,gemma3-27b_risk_neutral,1,14.0,,,,14.49,15,16,single_run,dial_risk_neutral
2,gemma3-27b_risk_neutral,1,14.25,,,,14.1,16,16,single_run,dial_risk_neutral
3,gemma3-27b_risk_neutral,1,14.6,,,,13.5,15,16,single_run,dial_risk_neutral
1,gemma3-27b_risk_seeking,1,15.8,,,,14.49,15,16,single_run,dial_risk_seeking
2,gemma3-27b_risk_seeking,1,15.312,,,,14.1,16,16,single_run,dial_risk_seeking
3,gemma3-27b_risk_seeking,1,15.5,,,,13.5,16,16,single_run,dial_risk_seeking
1,gemma3-27b_risk_very_seeking,1,14.375,,,,14.49,16,16,single_run,dial_risk_very_seeking
2,gemma3-27b_risk_very_seeking,1,15.125,,,,14.1,16,16,single_run,dial_risk_very_seeking
3,gemma3-27b_risk_very_seeking,1,15.875,,,,13.5,16,16,single_run,dial_risk_very_seeking
