run_id,seed,model,persona,memory_type,risk_aversion,risk_aversion_level,aggressiveness,aggressiveness_level,profit_orientation,profit_orientation_level,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,S3,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B18,buyer,bid,14,17,True,13,S3,4
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B9,buyer,bid,12,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B16,buyer,bid,13,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B12,buyer,bid,13,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B21,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B6,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B8,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B20,buyer,bid,15,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B11,buyer,bid,16,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B14,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,S2,seller,ask,14,12,True,17,B14,5
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,S4,seller,ask,18,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B23,buyer,bid,19,20,True,18,S4,2
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B7,buyer,bid,1,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B10,buyer,bid,2,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B19,buyer,bid,3,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,S1,seller,ask,19,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B22,buyer,bid,19,20,True,19,S1,1
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,1,B15,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,2,B8,buyer,bid,15,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,2,B2,buyer,bid,16,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,2,S3,seller,ask,14,12,True,16,B2,4
1,42,gemma3-27b,baseline,baseline,none,0,very_passive,1,none,0,20260427_113926,1,2,B11,buyer,bid,17,20,False,,,
