run_id,seed,model,persona,memory_type,risk_aversion,aggressiveness,profit_orientation,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,S3,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B18,buyer,bid,14,17,True,13,S3,4
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B9,buyer,bid,12,13,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B16,buyer,bid,13,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B12,buyer,bid,13,13,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B21,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B6,buyer,bid,15,15,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B20,buyer,bid,16,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B11,buyer,bid,17,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B14,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,S2,seller,ask,13,12,True,17,B11,5
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,S4,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B1,buyer,bid,13,13,True,13,S4,0
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B23,buyer,bid,18,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,S1,seller,ask,13,12,True,18,B23,6
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,1,1,B22,buyer,bid,19,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B12,buyer,bid,10,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B20,buyer,bid,11,15,False,,,
