run_id,seed,model,persona,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,llama3.1-70B,baseline,20260401_122500,1,1,S3,seller,ask,50,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B18,buyer,bid,1,17,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B9,buyer,bid,12,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B16,buyer,bid,13,20,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B12,buyer,bid,12,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B21,buyer,bid,14,15,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B24,buyer,bid,0,0,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B6,buyer,bid,15,15,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B20,buyer,bid,16,17,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B11,buyer,bid,17,20,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B14,buyer,bid,0,17,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,S2,seller,ask,49,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,S4,seller,ask,48,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B1,buyer,bid,12,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B23,buyer,bid,18,20,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B7,buyer,bid,8,8,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B10,buyer,bid,8,8,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B19,buyer,bid,8,8,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,S1,seller,ask,47,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,1,B22,buyer,bid,19,20,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,B8,buyer,bid,15,15,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,S3,seller,ask,50,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,B11,buyer,bid,20,20,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,S2,seller,ask,46,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,B15,buyer,bid,14,15,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,S4,seller,ask,45,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,S1,seller,ask,44,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,B19,buyer,bid,8,8,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,B5,buyer,bid,12,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,B18,buyer,bid,1,17,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,B9,buyer,bid,13,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,2,B23,buyer,bid,19,20,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,3,B13,buyer,bid,0,0,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,3,B12,buyer,bid,13,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,3,S3,seller,ask,44,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,3,S1,seller,ask,43,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,3,S4,seller,ask,42,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,3,B10,buyer,bid,8,8,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,3,S2,seller,ask,41,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,3,B20,buyer,bid,17,17,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,B10,buyer,bid,7,8,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,B15,buyer,bid,15,15,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,B16,buyer,bid,20,20,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,B19,buyer,bid,8,8,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,B17,buyer,bid,0,0,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,B13,buyer,bid,0,0,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,B5,buyer,bid,12,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,S4,seller,ask,40,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,S3,seller,ask,40,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,S2,seller,ask,39,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,S1,seller,ask,38,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,4,B9,buyer,bid,13,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,5,B1,buyer,bid,11,13,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,5,S1,seller,ask,35,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,5,B17,buyer,bid,0,0,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,5,S2,seller,ask,34,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,5,S4,seller,ask,33,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,5,S3,seller,ask,33,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,5,B10,buyer,bid,7,8,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,1,5,B13,buyer,bid,0,0,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,2,1,B8,buyer,bid,12,20,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,2,1,S4,seller,ask,13,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,2,1,B24,buyer,bid,12,17,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,2,1,S3,seller,ask,12,12,True,12,B8,0
1,42,llama3.1-70B,baseline,20260401_122500,2,1,S1,seller,ask,13,12,False,,,
1,42,llama3.1-70B,baseline,20260401_122500,2,1,B22,buyer,bid,0,8,False,,,
