run_id,seed,model,persona,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,llama3.3,baseline,20260401_122509,1,1,S3,seller,ask,13,12,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B18,buyer,bid,13,17,True,13,S3,4
1,42,llama3.3,baseline,20260401_122509,1,1,B9,buyer,bid,12,13,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B4,buyer,bid,0,0,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B16,buyer,bid,13,20,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B12,buyer,bid,12,13,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B13,buyer,bid,0,0,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B21,buyer,bid,14,15,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B24,buyer,bid,0,0,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B6,buyer,bid,15,15,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B20,buyer,bid,16,17,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B11,buyer,bid,17,20,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,S2,seller,ask,13,12,True,17,B11,5
1,42,llama3.3,baseline,20260401_122509,1,1,S4,seller,ask,13,12,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B17,buyer,bid,0,0,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B3,buyer,bid,1,8,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B1,buyer,bid,12,13,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B23,buyer,bid,13,20,True,13,S4,7
1,42,llama3.3,baseline,20260401_122509,1,1,B7,buyer,bid,8,8,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B10,buyer,bid,0,8,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B19,buyer,bid,8,8,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B2,buyer,bid,9,17,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,S1,seller,ask,13,12,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B22,buyer,bid,10,20,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B5,buyer,bid,11,13,False,,,
1,42,llama3.3,baseline,20260401_122509,1,1,B15,buyer,bid,12,15,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,B8,buyer,bid,12,15,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,B2,buyer,bid,13,17,True,13,S1,4
1,42,llama3.3,baseline,20260401_122509,1,2,S3,seller,ask,12,12,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,S2,seller,ask,12,12,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,B15,buyer,bid,12,15,True,12,S3,3
1,42,llama3.3,baseline,20260401_122509,1,2,B12,buyer,bid,13,13,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,S4,seller,ask,12,12,True,13,B12,1
1,42,llama3.3,baseline,20260401_122509,1,2,B16,buyer,bid,14,20,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,B10,buyer,bid,8,8,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,S1,seller,ask,12,12,True,14,B16,2
1,42,llama3.3,baseline,20260401_122509,1,2,B14,buyer,bid,12,17,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,B22,buyer,bid,13,20,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,B5,buyer,bid,12,13,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,B21,buyer,bid,14,15,False,,,
1,42,llama3.3,baseline,20260401_122509,1,2,B9,buyer,bid,12,13,False,,,
