run_id,seed,model,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,mistral-instruct,20260311_011611,1,1,B15,buyer,bid,14,15,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B13,buyer,bid,15,20,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B7,buyer,bid,16,20,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B11,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,1,S2,seller,ask,15,12,True,16,B7,4
1,42,mistral-instruct,20260311_011611,1,1,S3,seller,ask,17,12,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B23,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B1,buyer,bid,15,20,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B19,buyer,bid,17,20,True,17,S3,3
1,42,mistral-instruct,20260311_011611,1,1,B5,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B20,buyer,bid,17,17,False,,,
1,42,mistral-instruct,20260311_011611,1,1,S1,seller,ask,15,12,True,17,B20,5
1,42,mistral-instruct,20260311_011611,1,1,S4,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,1,B17,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B23,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,2,S2,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B17,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,2,S3,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B13,buyer,bid,19,20,True,18,S4,2
1,42,mistral-instruct,20260311_011611,1,2,B18,buyer,bid,0,0,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B1,buyer,bid,17,20,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,2,S4,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,2,S1,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B11,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,2,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,3,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,3,B17,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,3,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,3,B1,buyer,bid,16,20,False,,,
1,42,mistral-instruct,20260311_011611,1,3,S2,seller,ask,17,12,True,17,B1,5
1,42,mistral-instruct,20260311_011611,1,3,B23,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,3,S3,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,3,S1,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,3,B11,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,3,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,3,S4,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,3,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,4,B23,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,4,S2,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,4,S1,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,4,B17,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,4,S4,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,4,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,4,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,4,S3,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,4,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,4,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,4,B11,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,5,S2,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,5,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,5,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,5,B23,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,5,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,5,B17,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,5,B10,buyer,bid,12,13,False,,,
1,42,mistral-instruct,20260311_011611,1,5,S4,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,5,B11,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,5,S3,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,5,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,5,S1,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B24,buyer,bid,0,0,False,,,
1,42,mistral-instruct,20260311_011611,1,6,S4,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,6,S3,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,6,S2,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B23,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,6,S1,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B12,buyer,bid,0,0,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B17,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B11,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B10,buyer,bid,12,13,False,,,
1,42,mistral-instruct,20260311_011611,1,6,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,7,S2,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,7,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,7,S4,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,7,B23,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,7,B11,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,7,S3,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,7,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,7,S1,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,7,B18,buyer,bid,0,0,False,,,
1,42,mistral-instruct,20260311_011611,1,7,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,7,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,7,B17,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,8,S2,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,8,S3,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B11,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B23,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B22,buyer,bid,12,13,False,,,
1,42,mistral-instruct,20260311_011611,1,8,S1,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B17,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,8,B6,buyer,bid,0,0,False,,,
1,42,mistral-instruct,20260311_011611,1,8,S4,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,9,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,9,S3,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,9,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,9,S2,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,9,B11,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,9,B23,buyer,bid,8,8,False,,,
1,42,mistral-instruct,20260311_011611,1,9,S1,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,9,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,9,S4,seller,ask,19,12,False,,,
1,42,mistral-instruct,20260311_011611,1,9,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,9,B17,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,9,B3,buyer,bid,14,15,False,,,
1,42,mistral-instruct,20260311_011611,1,10,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,10,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,10,S2,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,10,B8,buyer,bid,16,17,False,,,
1,42,mistral-instruct,20260311_011611,1,10,B5,buyer,bid,7,8,False,,,
1,42,mistral-instruct,20260311_011611,1,10,S3,seller,ask,18,12,False,,,
1,42,mistral-instruct,20260311_011611,1,10,S1,seller,ask,18,12,False,,,
