run_id,seed,model,persona,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,mistral-instruct,baseline,20260329_231348,1,1,S3,seller,ask,36,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B18,buyer,bid,15,17,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B9,buyer,bid,12,13,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B16,buyer,bid,18,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B12,buyer,bid,12,13,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B21,buyer,bid,14,15,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B6,buyer,bid,14,15,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B8,buyer,bid,14,15,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B20,buyer,bid,16,17,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B11,buyer,bid,18,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B14,buyer,bid,16,17,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,S2,seller,ask,37,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,S4,seller,ask,38,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B17,buyer,bid,0,0,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B1,buyer,bid,12,13,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B23,buyer,bid,18,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B10,buyer,bid,7,8,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B19,buyer,bid,7,8,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B2,buyer,bid,16,17,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,S1,seller,ask,37,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B22,buyer,bid,18,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B5,buyer,bid,12,13,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,1,B15,buyer,bid,14,15,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,B2,buyer,bid,17,17,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,S3,seller,ask,35,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,B11,buyer,bid,19,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,S2,seller,ask,36,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,S4,seller,ask,36,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,B16,buyer,bid,19,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,S1,seller,ask,36,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,B22,buyer,bid,19,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,B18,buyer,bid,16,17,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,B23,buyer,bid,19,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,2,B6,buyer,bid,13,15,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B6,buyer,bid,12,15,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B19,buyer,bid,6,8,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B18,buyer,bid,14,17,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B16,buyer,bid,18,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B12,buyer,bid,11,13,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,S3,seller,ask,34,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B22,buyer,bid,20,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B11,buyer,bid,20,20,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B1,buyer,bid,8,13,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,S1,seller,ask,35,12,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,B21,buyer,bid,13,15,False,,,
1,42,mistral-instruct,baseline,20260329_231348,1,3,S4,seller,ask,35,12,False,,,
