run_id,seed,model,persona,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,phi4,baseline,20260401_122544,1,1,B18,buyer,bid,1,17,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B9,buyer,bid,1,13,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B16,buyer,bid,1,20,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B21,buyer,bid,1,15,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B6,buyer,bid,1,15,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B20,buyer,bid,1,17,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B11,buyer,bid,1,20,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B14,buyer,bid,1,17,False,,,
1,42,phi4,baseline,20260401_122544,1,1,S2,seller,ask,24,12,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B3,buyer,bid,1,8,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B23,buyer,bid,1,20,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B7,buyer,bid,1,8,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B10,buyer,bid,1,8,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B19,buyer,bid,8,8,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B2,buyer,bid,1,17,False,,,
1,42,phi4,baseline,20260401_122544,1,1,S1,seller,ask,12,12,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B22,buyer,bid,1,20,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B5,buyer,bid,1,13,False,,,
1,42,phi4,baseline,20260401_122544,1,1,B15,buyer,bid,1,15,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B8,buyer,bid,1,15,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B2,buyer,bid,1,17,False,,,
1,42,phi4,baseline,20260401_122544,1,2,S3,seller,ask,12,12,False,,,
1,42,phi4,baseline,20260401_122544,1,2,S2,seller,ask,24,12,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B16,buyer,bid,12,20,True,12,S1,8
1,42,phi4,baseline,20260401_122544,1,2,B10,buyer,bid,2,8,False,,,
1,42,phi4,baseline,20260401_122544,1,2,S1,seller,ask,12,12,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B14,buyer,bid,2,17,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B5,buyer,bid,1,13,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B21,buyer,bid,1,15,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B18,buyer,bid,1,17,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B9,buyer,bid,1,13,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B1,buyer,bid,2,13,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B20,buyer,bid,1,17,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B23,buyer,bid,1,20,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B7,buyer,bid,2,8,False,,,
1,42,phi4,baseline,20260401_122544,1,2,B6,buyer,bid,1,15,False,,,
1,42,phi4,baseline,20260401_122544,1,3,S3,seller,ask,12,12,False,,,
1,42,phi4,baseline,20260401_122544,1,3,B23,buyer,bid,1,20,False,,,
1,42,phi4,baseline,20260401_122544,1,3,S1,seller,ask,12,12,False,,,
1,42,phi4,baseline,20260401_122544,1,3,B21,buyer,bid,1,15,False,,,
1,42,phi4,baseline,20260401_122544,1,3,B7,buyer,bid,2,8,False,,,
1,42,phi4,baseline,20260401_122544,1,3,B9,buyer,bid,1,13,False,,,
1,42,phi4,baseline,20260401_122544,1,3,B14,buyer,bid,3,17,False,,,
1,42,phi4,baseline,20260401_122544,1,3,B15,buyer,bid,3,15,False,,,
1,42,phi4,baseline,20260401_122544,1,3,B20,buyer,bid,1,17,False,,,
1,42,phi4,baseline,20260401_122544,1,3,B5,buyer,bid,1,13,False,,,
