treatment,dial,level,level_num,model,period,n_runs,llm_avg_price,llm_sd,llm_ci_lo,llm_ci_hi,llm_min_price,llm_max_price,llm_avg_trades,human_avg_price,human_num_trades,human_ce_price,price_gap_vs_human
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,1,5,15.0,0.54,14.52,15.47,12.0,19.0,28.6,14.49,16,12.5,0.51
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,2,5,15.26,0.16,15.12,15.4,12.0,20.0,28.6,14.1,16,12.5,1.16
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,3,5,16.06,0.43,15.68,16.44,12.0,20.0,23.2,13.5,16,12.5,2.56
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,1,5,14.17,0.15,14.04,14.31,12.0,19.0,31.8,14.49,16,12.5,-0.32
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,2,5,14.84,0.39,14.5,15.19,12.0,20.0,29.2,14.1,16,12.5,0.74
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,3,5,14.68,0.36,14.36,15.0,12.0,19.0,27.4,13.5,16,12.5,1.18
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,1,4,14.5,0.6,13.91,15.09,12.0,20.0,20.0,14.49,16,12.5,0.01
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,2,4,14.78,0.54,14.25,15.3,12.0,19.0,19.5,14.1,16,12.5,0.68
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,3,4,14.65,0.51,14.16,15.15,12.0,19.0,19.8,13.5,16,12.5,1.15
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,1,1,14.81,0,14.81,14.81,12.0,18.0,16.0,14.49,16,12.5,0.32
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,2,1,15.21,0,15.21,15.21,12.0,19.0,14.0,14.1,16,12.5,1.11
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,3,1,14.67,0,14.67,14.67,12.0,19.0,15.0,13.5,16,12.5,1.17
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,1,1,15.56,0,15.56,15.56,12.0,20.0,16.0,14.49,16,12.5,1.07
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,2,1,15.67,0,15.67,15.67,12.0,20.0,15.0,14.1,16,12.5,1.57
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,3,1,15.0,0,15.0,15.0,12.0,20.0,16.0,13.5,16,12.5,1.5
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,1,5,13.28,0.19,13.11,13.45,12.0,19.0,54.0,14.49,16,12.5,-1.21
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,2,5,13.92,0.58,13.41,14.42,12.0,19.0,51.2,14.1,16,12.5,-0.18
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,3,5,14.08,0.17,13.93,14.23,12.0,19.0,51.0,13.5,16,12.5,0.58
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,1,5,14.19,0.42,13.82,14.56,12.0,19.0,35.0,14.49,16,12.5,-0.3
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,2,5,14.59,0.29,14.33,14.84,12.0,20.0,31.2,14.1,16,12.5,0.49
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,3,5,14.7,0.29,14.45,14.95,12.0,19.0,29.4,13.5,16,12.5,1.2
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,1,5,14.25,0.62,13.71,14.8,12.0,19.0,18.2,14.49,16,12.5,-0.24
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,2,4,14.62,0.65,13.98,15.26,12.0,20.0,19.8,14.1,16,12.5,0.52
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,3,4,14.93,0.14,14.8,15.07,12.0,20.0,18.5,13.5,16,12.5,1.43
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,1,1,14.75,0,14.75,14.75,12.0,18.0,16.0,14.49,16,12.5,0.26
