treatment,dial,level,level_num,model,period,n_runs,llm_avg_price,llm_sd,llm_ci_lo,llm_ci_hi,llm_min_price,llm_max_price,llm_avg_trades,human_avg_price,human_num_trades,human_ce_price,price_gap_vs_human
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,1,5,15,0.54,14.52,15.47,12,19,28.6,14.49,16,12.5,0.51
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,2,5,15.26,0.16,15.12,15.4,12,20,28.6,14.1,16,12.5,1.16
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,3,5,16.06,0.43,15.68,16.44,12,20,23.2,13.5,16,12.5,2.56
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,1,5,14.17,0.15,14.04,14.31,12,19,31.8,14.49,16,12.5,-0.32
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,2,5,14.84,0.39,14.5,15.19,12,20,29.2,14.1,16,12.5,0.74
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,3,5,14.68,0.36,14.36,15,12,19,27.4,13.5,16,12.5,1.18
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,1,4,14.5,0.6,13.91,15.09,12,20,20,14.49,16,12.5,0.01
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,2,4,14.78,0.54,14.25,15.3,12,19,19.5,14.1,16,12.5,0.68
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,3,4,14.65,0.51,14.16,15.15,12,19,19.8,13.5,16,12.5,1.15
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,1,1,14.81,0,14.81,14.81,12,18,16,14.49,16,12.5,0.32
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,2,1,15.21,0,15.21,15.21,12,19,14,14.1,16,12.5,1.11
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,3,1,14.67,0,14.67,14.67,12,19,15,13.5,16,12.5,1.17
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,1,1,15.56,0,15.56,15.56,12,20,16,14.49,16,12.5,1.07
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,2,1,15.67,0,15.67,15.67,12,20,15,14.1,16,12.5,1.57
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,3,1,15,0,15,15,12,20,16,13.5,16,12.5,1.5
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,1,5,13.28,0.19,13.11,13.45,12,19,54,14.49,16,12.5,-1.21
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,2,5,13.92,0.58,13.41,14.42,12,19,51.2,14.1,16,12.5,-0.18
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,3,5,14.08,0.17,13.93,14.23,12,19,51,13.5,16,12.5,0.58
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,1,5,14.19,0.42,13.82,14.56,12,19,35,14.49,16,12.5,-0.3
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,2,5,14.59,0.29,14.33,14.84,12,20,31.2,14.1,16,12.5,0.49
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,3,5,14.7,0.29,14.45,14.95,12,19,29.4,13.5,16,12.5,1.2
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,1,5,14.25,0.62,13.71,14.8,12,19,18.2,14.49,16,12.5,-0.24
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,2,4,14.62,0.65,13.98,15.26,12,20,19.8,14.1,16,12.5,0.52
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,3,4,14.93,0.14,14.8,15.07,12,20,18.5,13.5,16,12.5,1.43
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,1,1,14.75,0,14.75,14.75,12,18,16,14.49,16,12.5,0.26
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,2,1,15.12,0,15.12,15.12,12,19,16,14.1,16,12.5,1.03
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,3,1,16.17,0,16.17,16.17,14,20,12,13.5,16,12.5,2.67
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,1,1,15.81,0,15.81,15.81,12,20,16,14.49,16,12.5,1.32
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,2,1,15.5,0,15.5,15.5,12,19,14,14.1,16,12.5,1.4
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,3,1,15.71,0,15.71,15.71,12,19,14,13.5,16,12.5,2.21
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,1,5,14.32,0.75,13.66,14.98,12,19,31,14.49,16,12.5,-0.17
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,2,5,14.75,0.42,14.39,15.12,12,20,26.8,14.1,16,12.5,0.65
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,3,5,15.15,0.68,14.56,15.75,12,20,27.4,13.5,16,12.5,1.65
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,1,5,14.41,0.51,13.96,14.86,12,19,22.4,14.49,16,12.5,-0.08
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,2,5,14.67,0.19,14.5,14.84,12,19,22.4,14.1,16,12.5,0.57
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,3,5,15.19,0.25,14.97,15.4,12,20,21.2,13.5,16,12.5,1.69
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,1,3,14.84,1.18,13.5,16.18,12,18,17,14.49,16,12.5,0.35
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,2,2,14.8,0.11,14.64,14.95,12,20,24,14.1,16,12.5,0.7
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,3,2,14.73,0.39,14.19,15.26,12,20,23.5,13.5,16,12.5,1.23
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,1,1,15.8,0,15.8,15.8,13,20,15,14.49,16,12.5,1.31
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,2,1,15.31,0,15.31,15.31,12,19,16,14.1,16,12.5,1.21
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,3,1,15.5,0,15.5,15.5,12,20,16,13.5,16,12.5,2
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,1,1,14.38,0,14.38,14.38,12,17,16,14.49,16,12.5,-0.12
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,2,1,15.12,0,15.12,15.12,12,19,16,14.1,16,12.5,1.03
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,3,1,15.88,0,15.88,15.88,12,20,16,13.5,16,12.5,2.38
temperature,temperature,t0.0,1,gemma3-27b,1,5,14.45,0.51,14,14.89,12,19,50.2,14.49,16,12.5,-0.04
temperature,temperature,t0.0,1,gemma3-27b,2,5,14.83,0.29,14.58,15.09,12,20,46.2,14.1,16,12.5,0.73
temperature,temperature,t0.0,1,gemma3-27b,3,5,14.83,0.33,14.54,15.12,12,20,44.8,13.5,16,12.5,1.33
temperature,temperature,t0.3,2,gemma3-27b,1,5,14.47,0.44,14.08,14.85,12,19,59.2,14.49,16,12.5,-0.02
temperature,temperature,t0.3,2,gemma3-27b,2,5,14.81,0.26,14.59,15.04,12,20,55.8,14.1,16,12.5,0.71
temperature,temperature,t0.3,2,gemma3-27b,3,5,14.73,0.57,14.22,15.23,12,20,51,13.5,16,12.5,1.23
temperature,temperature,t0.5,3,gemma3-27b,1,1,14.33,0,14.33,14.33,12,17,15,14.49,16,12.5,-0.16
temperature,temperature,t0.5,3,gemma3-27b,2,1,14.8,0,14.8,14.8,12,19,15,14.1,16,12.5,0.7
temperature,temperature,t0.5,3,gemma3-27b,3,1,15.46,0,15.46,15.46,13,18,13,13.5,16,12.5,1.96
temperature,temperature,t0.7,4,gemma3-27b,1,1,14.13,0,14.13,14.13,12,17,15,14.49,16,12.5,-0.36
temperature,temperature,t0.7,4,gemma3-27b,2,1,14.25,0,14.25,14.25,12,19,16,14.1,16,12.5,0.15
temperature,temperature,t0.7,4,gemma3-27b,3,1,14.53,0,14.53,14.53,12,18,15,13.5,16,12.5,1.03
temperature,temperature,t1.0,5,gemma3-27b,1,1,14.38,0,14.38,14.38,12,17,16,14.49,16,12.5,-0.12
temperature,temperature,t1.0,5,gemma3-27b,2,1,13.94,0,13.94,13.94,12,17,16,14.1,16,12.5,-0.16
temperature,temperature,t1.0,5,gemma3-27b,3,1,15.07,0,15.07,15.07,13,18,14,13.5,16,12.5,1.57
