treatment,dial,level,level_num,model,period,llm_avg_price,llm_min_price,llm_max_price,llm_num_trades,human_avg_price,human_num_trades,human_ce_price,price_gap_vs_human
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,1,14.81,12.0,18.0,16,14.49,16,12.5,0.32
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,2,15.21,12.0,19.0,14,14.1,16,12.5,1.11
dial_aggressiveness,aggressiveness,aggressive,4,gemma3-27b,3,14.67,12.0,19.0,15,13.5,16,12.5,1.17
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,1,14.56,12.0,18.0,16,14.49,16,12.5,0.07
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,2,14.75,12.0,19.0,16,14.1,16,12.5,0.65
dial_aggressiveness,aggressiveness,moderate,3,gemma3-27b,3,14.69,12.0,19.0,16,13.5,16,12.5,1.19
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,1,14.4,12.0,18.0,15,14.49,16,12.5,-0.09
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,2,13.88,12.0,16.0,16,14.1,16,12.5,-0.22
dial_aggressiveness,aggressiveness,passive,2,gemma3-27b,3,14.5,12.0,19.0,16,13.5,16,12.5,1.0
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,1,15.56,12.0,20.0,16,14.49,16,12.5,1.07
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,2,15.67,12.0,20.0,15,14.1,16,12.5,1.57
dial_aggressiveness,aggressiveness,very_aggressive,5,gemma3-27b,3,15.0,12.0,20.0,16,13.5,16,12.5,1.5
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,1,15.91,13.0,19.0,11,14.49,16,12.5,1.42
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,2,16.33,13.0,20.0,12,14.1,16,12.5,2.23
dial_aggressiveness,aggressiveness,very_passive,1,gemma3-27b,3,15.82,12.0,19.0,11,13.5,16,12.5,2.32
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,1,13.75,12.0,17.0,16,14.49,16,12.5,-0.74
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,2,15.19,12.0,20.0,16,14.1,16,12.5,1.09
dial_profit_orientation,profit_orientation,balanced,3,gemma3-27b,3,14.73,12.0,20.0,15,13.5,16,12.5,1.23
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,1,13.94,12.0,17.0,16,14.49,16,12.5,-0.55
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,2,15.0,12.0,20.0,16,14.1,16,12.5,0.9
dial_profit_orientation,profit_orientation,conservative,2,gemma3-27b,3,14.13,13.0,16.0,15,13.5,16,12.5,0.63
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,1,15.81,12.0,20.0,16,14.49,16,12.5,1.32
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,2,15.5,12.0,19.0,14,14.1,16,12.5,1.4
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,3,15.71,12.0,19.0,14,13.5,16,12.5,2.21
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,1,14.75,12.0,18.0,16,14.49,16,12.5,0.26
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,2,15.12,12.0,19.0,16,14.1,16,12.5,1.03
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,3,16.17,14.0,20.0,12,13.5,16,12.5,2.67
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,1,12.88,12.0,14.0,16,14.49,16,12.5,-1.62
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,2,13.88,12.0,17.0,16,14.1,16,12.5,-0.22
dial_profit_orientation,profit_orientation,very_conservative,1,gemma3-27b,3,14.67,13.0,17.0,15,13.5,16,12.5,1.17
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,1,14.19,12.0,17.0,16,14.49,16,12.5,-0.3
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,2,14.88,12.0,18.0,16,14.1,16,12.5,0.78
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,3,14.69,12.0,18.0,16,13.5,16,12.5,1.19
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,1,14.0,12.0,17.0,15,14.49,16,12.5,-0.49
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,2,14.25,12.0,19.0,16,14.1,16,12.5,0.15
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,3,14.6,12.0,18.0,15,13.5,16,12.5,1.1
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,1,15.8,13.0,20.0,15,14.49,16,12.5,1.31
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,2,15.31,12.0,19.0,16,14.1,16,12.5,1.21
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,3,15.5,12.0,20.0,16,13.5,16,12.5,2.0
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,1,14.79,12.0,19.0,14,14.49,16,12.5,0.3
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,2,14.57,12.0,18.0,14,14.1,16,12.5,0.47
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,3,14.25,12.0,17.0,12,13.5,16,12.5,0.75
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,1,14.38,12.0,17.0,16,14.49,16,12.5,-0.12
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,2,15.12,12.0,19.0,16,14.1,16,12.5,1.03
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,3,15.88,12.0,20.0,16,13.5,16,12.5,2.38
temperature,temperature,t0.0,1,gemma3-27b,1,14.38,13.0,17.0,16,14.49,16,12.5,-0.11
temperature,temperature,t0.0,1,gemma3-27b,2,14.07,12.0,18.0,15,14.1,16,12.5,-0.03
temperature,temperature,t0.0,1,gemma3-27b,3,14.67,12.0,18.0,15,13.5,16,12.5,1.17
temperature,temperature,t0.3,2,gemma3-27b,1,13.94,12.0,17.0,16,14.49,16,12.5,-0.55
temperature,temperature,t0.3,2,gemma3-27b,2,14.31,12.0,18.0,16,14.1,16,12.5,0.21
temperature,temperature,t0.3,2,gemma3-27b,3,14.2,12.0,18.0,15,13.5,16,12.5,0.7
temperature,temperature,t0.5,3,gemma3-27b,1,14.33,12.0,17.0,15,14.49,16,12.5,-0.16
temperature,temperature,t0.5,3,gemma3-27b,2,14.8,12.0,19.0,15,14.1,16,12.5,0.7
temperature,temperature,t0.5,3,gemma3-27b,3,15.46,13.0,18.0,13,13.5,16,12.5,1.96
temperature,temperature,t0.7,4,gemma3-27b,1,14.13,12.0,17.0,15,14.49,16,12.5,-0.36
temperature,temperature,t0.7,4,gemma3-27b,2,14.25,12.0,19.0,16,14.1,16,12.5,0.15
temperature,temperature,t0.7,4,gemma3-27b,3,14.53,12.0,18.0,15,13.5,16,12.5,1.03
temperature,temperature,t1.0,5,gemma3-27b,1,14.38,12.0,17.0,16,14.49,16,12.5,-0.11
temperature,temperature,t1.0,5,gemma3-27b,2,13.94,12.0,17.0,16,14.1,16,12.5,-0.16
temperature,temperature,t1.0,5,gemma3-27b,3,15.07,13.0,18.0,14,13.5,16,12.5,1.57
human_benchmark,none,human,0,human_subjects,1,14.49,,,16,14.49,16,12.5,0
human_benchmark,none,human,0,human_subjects,2,14.1,,,16,14.1,16,12.5,0
human_benchmark,none,human,0,human_subjects,3,13.5,,,16,13.5,16,12.5,0
